symptoms,doctor_specialty
"dizziness, lower abdominal pain, fever, bone pain",Urologist
"sweating, fainting, hives",Cardiologist
"bone pain, back pain, stiffness",Orthopedist
"loss of appetite, mild headache, cold",General Physician
sore throat,General Physician
"fatigue, sore throat, nasal congestion",ENT Specialist
"mild headache, body ache, fever, nausea",General Physician
"shortness of breath, coughing blood, chest tightness, fever",Pulmonologist
"pelvic pain, vaginal discharge",Gynecologist
"tinnitus, hearing loss",ENT Specialist
"palpitations, sweating, radiating arm pain, high blood pressure",Cardiologist
"muscle weakness, back pain, limited range of motion, joint pain, hoarseness",Orthopedist
"cough, sore throat",General Physician
"bone pain, limited range of motion, back pain, stiffness",Orthopedist
"cold, fever, fatigue, loss of appetite",General Physician
"shortness of breath, high blood pressure",Cardiologist
"dizziness, burning urination, difficulty passing urine",Urologist
"heat intolerance, cold intolerance",Endocrinologist
"sore throat, fatigue, hearing loss",ENT Specialist
"eye pain, blurred vision, eye discharge, runny nose",Ophthalmologist
"slurred speech, fever",Neurologist
"hives, wheezing, swelling after exposure",Allergist/Immunologist
"scaly patches, redness, dry skin",Dermatologist
"tinnitus, headache, hoarseness",ENT Specialist
"chills, fever, nausea",General Physician
body ache,General Physician
"unexplained weight loss, fatigue, heat intolerance",Endocrinologist
"dizziness, lower abdominal pain",Urologist
"painful periods, irregular periods, heavy bleeding, breast lump, menstrual cramps",Gynecologist
weight gain,Pulmonologist
"sore throat, loss of appetite, body ache",General Physician
"red eye, eye discharge",Ophthalmologist
"sweating, fainting, palpitations, shortness of breath, high blood pressure",Cardiologist
"weight gain, blood in stool, heartburn",Gastroenterologist
"fever, fatigue, runny nose, mild headache",General Physician
"blurred vision, fever",Ophthalmologist
"coughing blood, shortness of breath, recurrent lung infections, wheezing, floaters",Pulmonologist
"muscle weakness, swelling, bone pain, irregular periods",Orthopedist
"acne, redness, skin rash",Dermatologist
"watering eyes, blurred vision, floaters, red eye",Ophthalmologist
"runny nose, itchy eyes, wheezing",Allergist/Immunologist
"itching, blisters, scaly patches, skin rash",Dermatologist
"radiating arm pain, shortness of breath, swelling of legs, mood swings",Cardiologist
"heavy bleeding, painful periods",Gynecologist
"frequent urination, blood in urine, lower abdominal pain",Urologist
"high blood pressure, shortness of breath",Cardiologist
"fever, runny nose",General Physician
"headache, runny nose",General Physician
"weight gain, sore throat, tinnitus, hoarseness",ENT Specialist
"breast lump, painful periods",Gynecologist
"nausea, blood in stool",Gastroenterologist
"sore throat, fever, cough",General Physician
"headache, sore throat",General Physician
"sweating, palpitations",Cardiologist
swelling after exposure,Allergist/Immunologist
"blisters, skin rash",Dermatologist
"blood in urine, fever, difficulty passing urine",Urologist
"fatigue, body ache, runny nose, penile discharge",General Physician
"hives, itching, dry skin, scaly patches",Dermatologist
"loss of appetite, mild headache, nausea, fever, sore throat",General Physician
"nasal congestion, ear pain",ENT Specialist
"anxiety, panic attacks, depressed mood, suicidal thoughts",Psychiatrist
"blood in stool, bloating, diarrhea, weight gain",Gastroenterologist
"scaly patches, itching, blood in urine",Dermatologist
fatigue,General Physician
"loss of appetite, fever",General Physician
"cough, runny nose",General Physician
"runny nose, chills, fatigue",General Physician
"heat intolerance, unexplained weight loss",Endocrinologist
"swelling, stiffness, joint pain, bone pain, back pain",Orthopedist
"floaters, blurred vision, sudden vision loss, eye discharge",Ophthalmologist
"cold, headache, fever",General Physician
"muscle weakness, stiffness",Orthopedist
"dry skin, blisters",Dermatologist
"chills, mild headache, cough",General Physician
"scaly patches, acne, skin rash",Dermatologist
pelvic pain,Gynecologist
"fever, mood swings",Psychiatrist
"hearing loss, runny nose, blurred vision",ENT Specialist
"bone pain, stiffness, limited range of motion",Orthopedist
"runny nose, sore throat, fever, fatigue",General Physician
"loss of appetite, mild headache, cough, nausea",General Physician
"memory loss, dizziness",Neurologist
"sudden vision loss, fever",Ophthalmologist
"recurrent lung infections, weight gain, chest tightness, persistent cough, coughing blood",Pulmonologist
excessive thirst,Endocrinologist
"bloating, weight gain",Gastroenterologist
"body ache, sore throat",General Physician
"breast lump, menstrual cramps, irregular periods, vaginal discharge",Gynecologist
persistent cough,Pulmonologist
"mild headache, fatigue",General Physician
"recurrent lung infections, weight gain, coughing blood",Pulmonologist
"persistent cough, chest tightness, difficulty passing urine",Pulmonologist
"fever, cold, mild headache",General Physician
"nausea, cold, loss of appetite",General Physician
"menstrual cramps, vaginal discharge",Gynecologist
radiating arm pain,Cardiologist
"bloating, heartburn, weight gain",Gastroenterologist
"cold, cough, runny nose",General Physician
"acne, skin rash, scaly patches",Dermatologist
"fatigue, sneezing, hives, fever",Allergist/Immunologist
"nausea, loss of appetite, headache",General Physician
"sore throat, fatigue",ENT Specialist
"fever, mild headache, fatigue, sore throat",General Physician
"hoarseness, nasal congestion, sore throat",ENT Specialist
"cold, cough",General Physician
"fainting, sweating, palpitations",Cardiologist
"heartburn, bloating, vomiting, weight gain, abdominal pain",Gastroenterologist
"itching, scaly patches",Dermatologist
"slurred speech, memory loss, seizures",Neurologist
"persistent cough, weight gain",Pulmonologist
"high blood pressure, radiating arm pain, fainting, swelling of legs",Cardiologist
"weakness, slurred speech, seizures, numbness",Neurologist
"heartburn, nausea",Gastroenterologist
skin rash,Dermatologist
"red eye, blurred vision, fever, headache",Ophthalmologist
"fever, anxiety, suicidal thoughts",Psychiatrist
"hives, acne, palpitations",Dermatologist
"radiating arm pain, sweating, swelling of legs, fainting",Cardiologist
"slurred speech, fever, loss of consciousness, menstrual cramps",Neurologist
"cough, nausea, headache, runny nose",General Physician
"runny nose, sore throat, fever",General Physician
"hearing loss, hoarseness",ENT Specialist
"fainting, high blood pressure",Cardiologist
weight gain,Pulmonologist
"burning urination, dizziness, penile discharge",Urologist
"sore throat, tinnitus",ENT Specialist
"nausea, diarrhea, weight gain, depressed mood",Gastroenterologist
"fever, cold, nausea, cough",General Physician
"numbness, memory loss, loss of consciousness, dizziness",Neurologist
"fatigue, cold intolerance, excessive thirst",Endocrinologist
"weight gain, swelling of feet, reduced urine output",Nephrologist
"coughing blood, wheezing",Pulmonologist
"abdominal pain, blood in stool, weight gain",Gastroenterologist
"high blood pressure, menstrual cramps",Cardiologist
"loss of appetite, nausea, cough, fever, body ache",General Physician
constipation,Gastroenterologist
"penile discharge, blood in urine, dizziness",Urologist
"mild headache, chills, cough",General Physician
"fatigue, loss of appetite",General Physician
"tinnitus, ear pain, weight gain",ENT Specialist
"fever, depressed mood, insomnia, hallucinations",Psychiatrist
"watering eyes, eye pain, eye discharge",Ophthalmologist
"hearing loss, sore throat, fatigue",ENT Specialist
"frequent urination, lower abdominal pain",Urologist
"dizziness, blood in urine, fever",Urologist
"foamy urine, weight gain",Nephrologist
fatigue,Endocrinologist
"weight gain, memory loss",ENT Specialist
"blurred vision, sudden vision loss",Ophthalmologist
"swelling after exposure, wheezing",Allergist/Immunologist
"sore throat, nasal congestion, runny nose, fatigue",ENT Specialist
"hair loss, hives",Dermatologist
"dizziness, lower abdominal pain, difficulty passing urine, penile discharge",Urologist
"loss of consciousness, dizziness",Neurologist
"diarrhea, heartburn",Gastroenterologist
"coughing blood, shortness of breath",Pulmonologist
"nausea, body ache",General Physician
fatigue,Endocrinologist
"diarrhea, vomiting, bloating, weight gain",Gastroenterologist
"eye pain, sudden vision loss, red eye",Ophthalmologist
"fever, headache, loss of consciousness",Neurologist
"loss of appetite, nausea, fever",General Physician
"hives, scaly patches",Dermatologist
"burning urination, penile discharge, difficulty passing urine",Urologist
"limited range of motion, back pain",Orthopedist
"heat intolerance, fatigue, frequent urination",Endocrinologist
"lower abdominal pain, frequent urination",Urologist
"constipation, bloating, headache, abdominal pain, diarrhea, blood in urine",Gastroenterologist
"weight gain, recurrent lung infections, wheezing",Pulmonologist
"fever, mild headache, fatigue, runny nose",General Physician
"radiating arm pain, high blood pressure, fainting",Cardiologist
"body ache, fever",General Physician
"joint pain, bone pain",Orthopedist
"nausea, runny nose, fever, sore throat",General Physician
heavy bleeding,Gynecologist
"swelling of legs, radiating arm pain, sweating, chest pain",Cardiologist
"nausea, sore throat, runny nose",General Physician
"blisters, hives, itching, scaly patches",Dermatologist
"heat intolerance, cold intolerance",Endocrinologist
"sore throat, headache, body ache",General Physician
cold intolerance,Endocrinologist
"mood swings, panic attacks",Psychiatrist
"blood in urine, dizziness, lower abdominal pain, burning urination",Urologist
"radiating arm pain, high blood pressure",Cardiologist
"limited range of motion, bone pain, muscle weakness",Orthopedist
"hoarseness, sore throat, nasal congestion",ENT Specialist
"fever, sore throat",General Physician
"foamy urine, flank pain, reduced urine output, swelling of feet, blood in urine",Nephrologist
"memory loss, headache, fever",Neurologist
"itchy eyes, fatigue, hives",Allergist/Immunologist
"breast lump, menstrual cramps",Gynecologist
"acne, scaly patches, skin rash, itching, lower abdominal pain",Dermatologist
"cough, headache",General Physician
"sore throat, headache, fatigue",General Physician
"dry skin, itching, redness",Dermatologist
"pelvic pain, menstrual cramps, heavy bleeding",Gynecologist
"headache, mild headache, loss of appetite, pelvic pain",General Physician
"radiating arm pain, sweating",Cardiologist
"nausea, fever",General Physician
"headache, fever",Neurologist
"recurrent lung infections, persistent cough, coughing blood, shortness of breath, chest tightness",Pulmonologist
"nausea, headache",General Physician
"itching, hives",Dermatologist
"weight gain, tinnitus",ENT Specialist
"fever, penile discharge, difficulty passing urine",Urologist
"runny nose, diarrhea",General Physician
"recurrent lung infections, persistent cough, shortness of breath",Pulmonologist
"heartburn, weight gain, nausea, dizziness",Gastroenterologist
"fever, sore throat",General Physician
"headache, tinnitus, nasal congestion",ENT Specialist
"sore throat, tinnitus, fatigue, radiating arm pain",ENT Specialist
"nausea, headache, diarrhea",Gastroenterologist
high creatinine,Nephrologist
"anxiety, insomnia",Psychiatrist
"blood in stool, nausea",Gastroenterologist
"weight gain, blood in stool, vomiting",Gastroenterologist
"numbness, fever, slurred speech, dizziness",Neurologist
"memory loss, headache, numbness",Neurologist
"cough, chills",General Physician
"headache, nausea",General Physician
"recurrent lung infections, coughing blood, chest tightness",Pulmonologist
"chills, fever, body ache, sore throat",General Physician
"reduced urine output, high creatinine",Nephrologist
"irregular periods, painful periods, heavy bleeding, headache",Gynecologist
"nasal congestion, hoarseness, runny nose, ear pain",ENT Specialist
"wheezing, sneezing, runny nose, swelling after exposure",Allergist/Immunologist
